name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S6-PC,Na2S6,,S–S–S,77.49,PC,True,False,10,102.17,39.28,37.26,12.42,-0.43
Na2S6-PC,Na2S6,,S–Na–Na,53.32,PC,True,False,10,45.86,18.52,17.57,5.86,1.47
Na2S6-PC-elecmin,Na2S6,,S–Na–Na,52.69,PC,False,False,10,45.73,17.75,16.84,5.61,1.45
Na2S6-PC-elecmin,Na2S6,,Na–S–Na,90.77,PC,False,False,4,90.75,10.81,9.36,5.41,0.00
Na2S6-PC-elecmin,Na2S6,,S–Na–S,52.89,PC,False,False,20,58.36,18.89,18.41,4.22,0.08
Na2S6-PC-elecmin,Na2S6,,S–S–S,77.53,PC,False,False,10,102.04,39.09,37.08,12.36,-0.44
Na2S6-PC-elecmin,Na2S6,,S–S–Na,81.98,PC,False,False,24,71.81,28.45,27.85,5.81,1.23
Na2S6-PC-vdw,Na2S6,,S–S–Na,81.63,PC,True,True,24,72.08,28.27,27.67,5.77,1.22
Na2S6-PC-vdw,Na2S6,,Na–S–Na,90.04,PC,True,True,4,90.03,11.04,9.56,5.52,0.00
Na2S6-PC-vdw,Na2S6,,S–Na–S,53.46,PC,True,True,20,58.62,19.01,18.53,4.25,0.13
Na2S6-PC-vdw,Na2S6,,S–S–S,77.75,PC,True,True,10,103.18,39.04,37.03,12.34,-0.44
Na2S6-PC-vdw,Na2S6,,S–Na–Na,53.03,PC,True,True,10,46.08,17.73,16.82,5.61,1.43
Na2S6-PC-vdw-elecmin,Na2S6,,S–Na–Na,54.46,PC,False,True,10,45.92,19.81,18.79,6.26,1.46
Na2S6-PC-vdw-elecmin,Na2S6,,S–Na–S,58.79,PC,False,True,20,64.27,20.48,19.96,4.58,0.18
Na2S6-PC-vdw-elecmin,Na2S6,,Na–S–Na,89.12,PC,False,True,4,89.12,11.45,9.92,5.73,-0.00
Na2S6-PC-vdw-elecmin,Na2S6,,S–S–Na,79.09,PC,False,True,24,70.57,27.70,27.11,5.65,1.20
Na2S6-PC-vdw-elecmin,Na2S6,,S–S–S,77.12,PC,False,True,10,102.74,37.79,35.85,11.95,-0.44
Na2S6-elecmin,Na2S6,,S–S–S,76.58,Vacuum,False,False,10,100.32,36.49,34.62,11.54,-0.44
Na2S6-elecmin,Na2S6,,S–S–Na,76.59,Vacuum,False,False,24,69.74,27.17,26.60,5.55,1.19
Na2S6-elecmin,Na2S6,,Na–S–Na,87.97,Vacuum,False,False,4,87.97,11.32,9.80,5.66,0.00
Na2S6-elecmin,Na2S6,,S–Na–S,64.05,Vacuum,False,False,20,69.72,22.01,21.45,4.92,0.23
Na2S6-elecmin,Na2S6,,S–Na–Na,56.05,Vacuum,False,False,10,45.31,21.97,20.84,6.95,1.49
Na2S6-glyme,Na2S6,,S–Na–S,58.27,Glyme,True,False,20,63.40,19.83,19.33,4.43,0.27
Na2S6-glyme,Na2S6,,S–Na–Na,51.99,Glyme,True,False,10,43.61,21.31,20.22,6.74,1.38
Na2S6-glyme,Na2S6,,Na–S–Na,95.21,Glyme,True,False,4,95.10,14.24,12.33,7.12,0.00
Na2S6-glyme,Na2S6,,S–S–Na,75.35,Glyme,True,False,28,60.38,27.92,27.42,5.28,1.27
Na2S6-glyme,Na2S6,,S–S–S,76.82,Glyme,True,False,14,79.76,30.17,29.07,8.06,-0.57
Na2S6-glyme-elecmin,Na2S6,,S–S–S,76.85,Glyme,False,False,14,79.94,30.17,29.08,8.06,-0.58
Na2S6-glyme-elecmin,Na2S6,,S–Na–Na,51.69,Glyme,False,False,10,43.25,21.38,20.29,6.76,1.38
Na2S6-glyme-elecmin,Na2S6,,S–Na–S,58.11,Glyme,False,False,20,63.22,19.75,19.25,4.42,0.27
